step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
420,0.20694,0.93529,,
421,0.12231,0.96226,,
422,0.19175,0.94643,,
423,0.13336,0.96689,,
424,0.31232,0.91667,,
425,0.1762,0.94479,,
426,0.18076,0.95597,,
427,0.11871,0.98225,,
428,0.14781,0.96386,,
429,0.13517,0.95808,,
430,0.14584,0.95541,,
431,0.12496,0.96532,,
432,0.1977,0.97531,,
433,0.15282,0.96364,,
434,0.08438,0.98148,,
435,0.1636,0.95092,,
436,0.29892,0.92593,,
437,0.10124,0.96815,,
438,0.24199,0.94479,,
439,0.25788,0.93939,,
440,0.1076,0.95484,,
441,0.13947,0.95706,,
442,0.15632,0.9321,,
443,0.10412,0.96154,,
444,0.04646,0.9875,,
445,0.11498,0.98182,,
446,0.12066,0.95031,,
447,0.08426,0.96429,,
448,0.13945,0.96429,,
449,0.2206,0.95652,,
450,0.31864,0.92442,,
451,0.09138,0.98137,,
452,0.09209,0.98101,,
453,0.05928,0.98788,,
454,0.17268,0.94798,,
455,0.13486,0.97576,,
456,0.11941,0.95425,,
457,0.19473,0.93631,,
458,0.03051,0.98718,,
459,0.04356,0.98693,,
460,0.22777,0.93168,,
461,0.34733,0.9281,,
462,0.12189,0.95783,,
463,0.08556,0.9697,,
464,0.10668,0.95625,,
465,0.13339,0.95597,,
466,0.16416,0.93789,,
467,0.10987,0.96226,,
468,0.13111,0.95652,,
469,0.14823,0.94268,,
470,0.42209,0.91875,,
471,0.18249,0.94079,,
472,0.20307,0.94643,,
473,0.10764,0.96471,,
474,0.12976,0.96988,,
475,0.11315,0.96855,,
476,0.15058,0.95484,,
477,0.1379,0.95092,,
478,0.06529,0.96273,,
479,0.0697,0.97516,,
480,0.06677,0.98742,,
481,0.07993,0.97024,,
482,0.12485,0.97605,,
483,0.06462,0.98137,,
484,0.17686,0.95122,,
485,0.05047,0.98718,,
486,0.33945,0.94737,,
487,0.25348,0.95122,,
488,0.19054,0.95031,,
489,0.08491,0.98101,,
490,0.21865,0.95625,,
491,0.092,0.9697,,
492,0.15823,0.94839,,
493,0.12384,0.96341,,
494,0.08492,0.96951,,
495,0.03978,0.98101,,
496,0.07045,0.97452,,
497,0.23152,0.94839,,
498,0.11418,0.95732,,
499,0.12842,0.96753,,
500,0.09034,0.98101,0.2349,0.92593
501,0.17358,0.94771,,
502,0.1405,0.96203,,
503,0.15651,0.9625,,
504,0.15136,0.9375,,
505,0.08979,0.96933,,
506,0.09946,0.97452,,
507,0.05842,0.98225,,
508,0.09058,0.96178,,
509,0.05912,0.97468,,
510,0.25906,0.95181,,
511,0.11619,0.96178,,
512,0.13466,0.96855,,
513,0.16984,0.95625,,
514,0.14404,0.94083,,
515,0.04289,0.98214,,
516,0.14218,0.95732,,
517,0.21667,0.93529,,
518,0.1564,0.95833,,
519,0.1771,0.93671,,
520,0.07951,0.96795,,
521,0.2086,0.93631,,
522,0.282,0.95062,,
523,0.09953,0.96894,,
524,0.11324,0.97468,,
525,0.15566,0.95882,,
526,0.074,0.98148,,
527,0.08169,0.97633,,
528,0.13822,0.96875,,
529,0.17207,0.9697,,
530,0.15162,0.94872,,
531,0.1072,0.96532,,
532,0.11271,0.97484,,
533,0.10032,0.96835,,
534,0.14803,0.96296,,
535,0.10349,0.96835,,
536,0.16734,0.96407,,
537,0.12132,0.94194,,
538,0.10042,0.98065,,
539,0.15489,0.95732,,
540,0.11352,0.9625,,
541,0.10851,0.97436,,
542,0.07245,0.97419,,
543,0.1276,0.95783,,
544,0.19162,0.92982,,
545,0.30066,0.93939,,
546,0.17648,0.94643,,
547,0.14783,0.95455,,
548,0.12037,0.96894,,
549,0.14512,0.95625,,
550,0.17025,0.95092,,
551,0.18589,0.94969,,
552,0.12383,0.97041,,
553,0.08556,0.96795,,
554,0.06461,0.97688,,
555,0.12306,0.95882,,
556,0.24939,0.95122,,
557,0.22686,0.95122,,
558,0.14061,0.96875,,
559,0.09241,0.96104,,
560,0.14016,0.95181,,
561,0.13887,0.96795,,
562,0.09488,0.95513,,
563,0.20149,0.92638,,
564,0.13648,0.95732,,
565,0.42838,0.91772,,
566,0.07489,0.97368,,
567,0.08999,0.9697,,
568,0.09433,0.96178,,
569,0.09695,0.96894,,
570,0.15308,0.95,,
571,0.13394,0.96951,,
572,0.11775,0.97516,,
573,0.06881,0.98824,,
574,0.10698,0.97403,,
575,0.06369,0.97619,,
576,0.08026,0.95758,,
577,0.08943,0.96226,,
578,0.13945,0.95541,,
579,0.16908,0.94667,,
580,0.11007,0.96429,,
581,0.1918,0.9434,,
582,0.05443,0.97386,,
583,0.08814,0.96386,,
584,0.0712,0.97753,,
585,0.03327,0.98773,,
586,0.15888,0.94375,,
587,0.14324,0.96154,,
588,0.09348,0.97006,,
589,0.05802,0.98113,,
590,0.1876,0.96319,,
591,0.11166,0.97546,,
592,0.20566,0.94872,,
593,0.14359,0.95732,,
594,0.16097,0.95181,,
595,0.06649,0.98039,,
596,0.12711,0.9759,,
597,0.12078,0.96933,,
598,0.12009,0.98182,,
599,0.11887,0.96471,,
600,0.10977,0.95122,0.15473,0.94969
601,0.11559,0.96341,,
602,0.16793,0.93671,,
603,0.09441,0.96835,,
604,0.11267,0.96319,,
605,0.13422,0.94512,,
606,0.06929,0.9875,,
607,0.10893,0.96774,,
608,0.07223,0.97041,,
609,0.08888,0.9697,,
610,0.04738,0.98137,,
611,0.0777,0.97484,,
612,0.08748,0.97006,,
613,0.04419,0.98765,,
614,0.07385,0.975,,
615,0.11526,0.9625,,
616,0.08667,0.9759,,
617,0.11376,0.96753,,
618,0.04157,0.98837,,
619,0.1008,0.96914,,
620,0.09938,0.9697,,
621,0.1078,0.96815,,
622,0.13271,0.96988,,
623,0.12851,0.95122,,
624,0.13929,0.97516,,
625,0.08576,0.96,,
626,0.03612,0.99401,,
627,0.10601,0.95732,,
628,0.09182,0.96341,,
629,0.13117,0.95597,,
630,0.0328,0.99387,,
631,0.28649,0.93827,,
632,0.07571,0.97561,,
633,0.07337,0.97059,,
634,0.07776,0.98726,,
635,0.06632,0.96914,,
636,0.1239,0.96273,,
637,0.16622,0.93464,,
638,0.07502,0.96951,,
639,0.02886,0.98125,,
640,0.13002,0.96875,,
641,0.0934,0.97041,,
642,0.073,0.98734,,
643,0.07735,0.97619,,
644,0.05217,0.99387,,
645,0.07885,0.97452,,
646,0.09564,0.98182,,
647,0.24353,0.96226,,
648,0.06092,0.98844,,
649,0.15331,0.96815,,
650,0.02831,0.98758,,
651,0.04983,0.98734,,
652,0.16055,0.96933,,
653,0.07204,0.97468,,
654,0.08567,0.98718,,
655,0.10014,0.95858,,
656,0.03386,0.99379,,
657,0.10259,0.95808,,
658,0.03585,0.98137,,
659,0.05312,0.9871,,
660,0.04612,0.98795,,
661,0.01688,0.99375,,
662,0.06722,0.98125,,
663,0.02599,0.99363,,
664,0.10015,0.9625,,
665,0.0059,1.0,,
666,0.07691,0.96795,,
667,0.2932,0.94937,,
668,0.02289,0.99412,,
669,0.02524,0.98795,,
670,0.00766,1.0,,
671,0.13297,0.97436,,
672,0.14728,0.94444,,
673,0.11723,0.97076,,
674,0.10298,0.96226,,
675,0.02152,0.98726,,
676,0.10186,0.96203,,
677,0.03784,0.98148,,
678,0.01455,0.99359,,
679,0.06733,0.96951,,
680,0.0645,0.97546,,
681,0.03318,0.98225,,
682,0.01933,0.9939,,
683,0.05863,0.98204,,
684,0.11948,0.96753,,
685,0.15294,0.94611,,
686,0.08926,0.96753,,
687,0.05575,0.99355,,
688,0.08934,0.9697,,
689,0.0383,0.98824,,
690,0.10646,0.96875,,
691,0.04413,0.98726,,
692,0.11804,0.96894,,
693,0.14102,0.96988,,
694,0.03908,0.99398,,
695,0.08247,0.97452,,
696,0.08064,0.96855,,
697,0.04612,0.97436,,
698,0.05858,0.97368,,
699,0.05798,0.96988,,
700,0.07762,0.9711,0.21848,0.95266
701,0.05844,0.97576,,
702,0.08259,0.98065,,
703,0.08945,0.96341,,
704,0.05126,0.98225,,
705,0.02274,0.99383,,
706,0.05893,0.98204,,
707,0.06919,0.96875,,
708,0.03563,0.98742,,
709,0.09213,0.98171,,
710,0.04239,0.98795,,
711,0.18312,0.96053,,
712,0.03772,0.9875,,
713,0.10873,0.97059,,
714,0.0817,0.98204,,
715,0.08715,0.9759,,
716,0.08864,0.96154,,
717,0.10628,0.97661,,
718,0.06615,0.98089,,
719,0.12826,0.9881,,
720,0.03693,0.9881,,
721,0.07711,0.97576,,
722,0.07753,0.97561,,
723,0.09058,0.96178,,
724,0.01909,0.99351,,
725,0.13224,0.96273,,
726,0.0551,0.97419,,
727,0.08008,0.99383,,
728,0.03858,0.98182,,
729,0.07973,0.96951,,
730,0.03553,0.98734,,
731,0.04383,0.98734,,
732,0.12251,0.95833,,
733,0.03355,0.99355,,
734,0.03272,0.98742,,
735,0.05487,0.98065,,
736,0.05109,0.98193,,
737,0.15204,0.97546,,
738,0.15776,0.94578,,
739,0.04115,0.99405,,
740,0.02754,0.98718,,
741,0.07738,0.96341,,
742,0.08011,0.9878,,
743,0.06766,0.98148,,
744,0.10634,0.96933,,
745,0.11456,0.96951,,
746,0.06672,0.98204,,
747,0.14047,0.9441,,
748,0.08521,0.98113,,
749,0.124,0.96273,,
750,0.06833,0.98065,,
751,0.13173,0.9697,,
752,0.02531,0.99394,,
753,0.01622,0.99351,,
754,0.03922,0.98193,,
755,0.12287,0.95625,,
756,0.03403,0.98742,,
757,0.09476,0.975,,
758,0.08556,0.96296,,
759,0.02778,0.98077,,
760,0.106,0.96512,,
761,0.03709,0.98137,,
762,0.06598,0.98125,,
763,0.01062,1.0,,
764,0.03234,0.98758,,
765,0.12127,0.95266,,
766,0.17954,0.98052,,
767,0.08114,0.96855,,
768,0.00762,0.99398,,
769,0.11954,0.98795,,
770,0.01813,0.9939,,
771,0.19749,0.95541,,
772,0.05611,0.98802,,
773,0.07023,0.98125,,
774,0.03569,0.9883,,
775,0.01582,0.99387,,
776,0.0454,0.98734,,
777,0.14781,0.95302,,
778,0.11616,0.97516,,
779,0.11793,0.96875,,
780,0.07823,0.98171,,
781,0.0546,0.97619,,
782,0.03417,0.99351,,
783,0.1738,0.97419,,
784,0.21966,0.95732,,
785,0.21906,0.9557,,
786,0.0437,0.98125,,
787,0.11932,0.96129,,
788,0.09589,0.9816,,
789,0.07142,0.96914,,
790,0.05467,0.98802,,
791,0.08021,0.98726,,
792,0.04343,0.99375,,
793,0.06539,0.99401,,
794,0.09513,0.97546,,
795,0.07067,0.96341,,
796,0.03626,0.98765,,
797,0.14388,0.96053,,
798,0.05505,0.98817,,
799,0.05295,0.99371,,
800,0.06235,0.96933,0.14111,0.96855
801,0.04156,0.98052,,
802,0.0121,0.99408,,
803,0.04506,0.9878,,
804,0.00212,1.0,,
805,0.11929,0.97531,,
806,0.03213,0.98171,,
807,0.06622,0.9759,,
808,0.003,1.0,,
809,0.14539,0.95732,,
810,0.01293,0.99363,,
811,0.10164,0.96364,,
812,0.06021,0.97468,,
813,0.10703,0.97006,,
814,0.03637,0.9816,,
815,0.16806,0.96154,,
816,0.05,0.98193,,
817,0.07994,0.9878,,
818,0.21737,0.97041,,
819,0.0435,0.97973,,
820,0.06741,0.97576,,
821,0.08301,0.95706,,
822,0.04243,0.98837,,
823,0.04868,0.97386,,
824,0.06728,0.9759,,
825,0.01479,0.99394,,
826,0.10955,0.98065,,
827,0.09858,0.97576,,
828,0.05731,0.98077,,
829,0.10414,0.96273,,
830,0.13464,0.95625,,
831,0.02091,0.99398,,
832,0.05704,0.975,,
833,0.04926,0.98193,,
834,0.25103,0.96026,,
835,0.03399,0.99398,,
